"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","1","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","2","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","3","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","4","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","5","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","6","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","7","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","8","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","9","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Barbell Bench Press","10","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","1","90","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","2","90","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","3","90","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","4","90","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","5","90","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","6","90","9","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","7","90","5","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","8","90","6","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","9","90","5","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Bent Over Barbell Row","10","90","5","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Cable Crossover","1","3","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Cable Crossover","2","3","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Cable Crossover","3","3","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Close Grip Lat Pulldown","1","70","10","","","lbs",
"2018-04-16 07:03:22","Chest and Back","Close Grip Lat Pulldown","2","12","10","","","lbs",
